epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,58966.2,0.79721,0.61053,1.09285,0.93851,0.83389,0.89868,0.61153,1.18105,0.77365,1.308,0.0003368,0.0003368,0.0003368
86,59675.3,0.77359,0.58904,1.08046,0.93618,0.83389,0.88983,0.60531,1.18047,0.77708,1.31241,0.000317,0.000317,0.000317
87,60375.9,0.77519,0.58983,1.08138,0.94053,0.81395,0.91322,0.62773,1.17912,0.75527,1.32049,0.0002972,0.0002972,0.0002972
88,61070.1,0.78958,0.57893,1.08421,0.91397,0.84704,0.89256,0.61485,1.19222,0.79377,1.32654,0.0002774,0.0002774,0.0002774
89,61755.1,0.77069,0.59842,1.07226,0.93237,0.82448,0.90436,0.62133,1.18175,0.79576,1.31743,0.0002576,0.0002576,0.0002576
90,62444,0.74721,0.57081,1.07432,0.92895,0.82528,0.89376,0.6145,1.16088,0.75283,1.29938,0.0002378,0.0002378,0.0002378
91,63125.4,0.69146,0.44727,1.02624,0.93581,0.81728,0.90728,0.61373,1.1721,0.75932,1.31227,0.000218,0.000218,0.000218
92,63801.3,0.67398,0.41657,1.02893,0.93124,0.81728,0.91445,0.62033,1.16381,0.752,1.29971,0.0001982,0.0001982,0.0001982
93,64477.7,0.67029,0.41008,1.02567,0.92658,0.83389,0.91239,0.62372,1.16137,0.77559,1.30466,0.0001784,0.0001784,0.0001784
94,65156.9,0.65586,0.41391,1.01568,0.92533,0.82392,0.90738,0.6195,1.16574,0.75693,1.30622,0.0001586,0.0001586,0.0001586
95,65844.1,0.64361,0.4045,1.01426,0.93309,0.82724,0.91129,0.61776,1.16978,0.743,1.29955,0.0001388,0.0001388,0.0001388
96,66528.3,0.63153,0.39209,0.99876,0.90946,0.84385,0.91097,0.61919,1.17142,0.7656,1.30788,0.000119,0.000119,0.000119
97,67210.5,0.62298,0.3887,0.99448,0.91659,0.83721,0.91187,0.62664,1.17568,0.75838,1.30752,9.92e-05,9.92e-05,9.92e-05
98,67889.2,0.62989,0.39354,1.00768,0.90734,0.85382,0.91459,0.62859,1.16411,0.73541,1.30797,7.94e-05,7.94e-05,7.94e-05
99,68572.8,0.61414,0.38889,0.99407,0.91878,0.8505,0.90884,0.6199,1.16826,0.73929,1.31421,5.96e-05,5.96e-05,5.96e-05
100,69255.7,0.60547,0.37919,0.98666,0.92154,0.84718,0.90578,0.62428,1.17393,0.73845,1.32202,3.98e-05,3.98e-05,3.98e-05
